Species,Augustus,Genscan,GeneID,GlimmerHMM,Snap,Helixer
9EIME,toxoplasma,HumanIso.smat,cubiquitum.param,rice,O.sativa.hmm,land_plant
9EUKA,pea_aphid,HumanIso.smat,drosophila.U12.070102.param,rice,O.sativa.hmm,land_plant
9FUNG,rhizopus_oryzae,HumanIso.smat,roryzae.param,Celegans,A.mellifera.hmm,invertebrate
9MICR,encephalitozoon_cuniculi_GB,HumanIso.smat,roryzae.param,Celegans,A.mellifera.hmm,invertebrate
9SPIT,tetrahymena,HumanIso.smat,ptetraurelia.param,rice,O.sativa.hmm,land_plant
9STRA,pea_aphid,HumanIso.smat,pinfestans.param,rice,O.sativa.hmm,land_plant
9TRYP,leishmania_tarentolae,HumanIso.smat,drosophila.U12.070102.param,rice,O.sativa.hmm,land_plant
ACYPI,pea_aphid,HumanIso.smat,apisum.param,Celegans,A.mellifera.hmm,invertebrate
AEDAE,aedes,HumanIso.smat,cpipiens.param,Celegans,mosquito,invertebrate
AILME,chicken,HumanIso.smat,tetraodon.param,zebrafish,mam54.hmm,vertebrate
ALLMA,rhizopus_oryzae,HumanIso.smat,roryzae.param,Celegans,A.mellifera.hmm,invertebrate
ANOCA,chicken,HumanIso.smat,tetraodon.param,zebrafish,mam54.hmm,vertebrate
ANODA,aedes,HumanIso.smat,cpipiens.param,Celegans,mosquito,invertebrate
ANOGA,aedes,HumanIso.smat,cpipiens.param,Celegans,mosquito,invertebrate
ASTMX,zebrafish,HumanIso.smat,tetraodon.param,zebrafish,mam54.hmm,vertebrate
ATTCE,camponotus_floridanus,HumanIso.smat,dlongipes.param,Celegans,A.mellifera.hmm,invertebrate
AURAN,pea_aphid,HumanIso.smat,bhominis.param,rice,O.sativa.hmm,land_plant
BATDJ,rhizopus_oryzae,HumanIso.smat,bdendrobatidis.param,Celegans,A.mellifera.hmm,invertebrate
BETVU,arabidopsis,Arabidopsis.smat,stuberosum.param,arabidopsis,A.thaliana.hmm,land_plant
BODSA,leishmania_tarentolae,HumanIso.smat,drosophila.U12.070102.param,rice,O.sativa.hmm,land_plant
BOMMO,heliconius_melpomene1,HumanIso.smat,dlongipes.param,Celegans,A.mellifera.hmm,invertebrate
BOVIN,chicken,HumanIso.smat,tetraodon.param,zebrafish,mam54.hmm,vertebrate
BRUMA,brugia,HumanIso.smat,lloa.param,Celegans,B.malayi.hmm,invertebrate
CAEBE,caenorhabditis,HumanIso.smat,celegans.param,Celegans,C.elegans.hmm,invertebrate
CAEBR,caenorhabditis,HumanIso.smat,celegans.param,Celegans,C.elegans.hmm,invertebrate
CAEEL,caenorhabditis,HumanIso.smat,celegans.param,Celegans,C.elegans.hmm,invertebrate
CAERE,caenorhabditis,HumanIso.smat,celegans.param,Celegans,C.elegans.hmm,invertebrate
CALJA,human,HumanIso.smat,human.070123.param,human,mam54.hmm,vertebrate
CANLF,chicken,HumanIso.smat,tetraodon.param,zebrafish,mam54.hmm,vertebrate
CAVPO,chicken,HumanIso.smat,tetraodon.param,zebrafish,mam54.hmm,vertebrate
CHICK,chicken,HumanIso.smat,tetraodon.param,zebrafish,mam54.hmm,vertebrate
CHLRE,chlamy2011,Arabidopsis.smat,rice.param,rice,O.sativa.hmm,land_plant
CHLSB,human,HumanIso.smat,human.070123.param,human,mam54.hmm,vertebrate
CIOIN,ciona,HumanIso.smat,cintestinalis.param,zebrafish,C.intestinalis.hmm,vertebrate
CIOSA,ciona,HumanIso.smat,cintestinalis.param,zebrafish,C.intestinalis.hmm,vertebrate
CRAGI,pea_aphid,HumanIso.smat,drosophila.U12.070102.param,Celegans,A.mellifera.hmm,invertebrate
CULQU,culex,HumanIso.smat,cpipiens.param,Celegans,mosquito,invertebrate
DANRE,zebrafish,HumanIso.smat,tetraodon.param,zebrafish,mam54.hmm,vertebrate
DAPPU,pea_aphid,HumanIso.smat,drosophila.U12.070102.param,Celegans,A.mellifera.hmm,invertebrate
DENPD,tribolium2012,HumanIso.smat,dlongipes.param,Celegans,A.mellifera.hmm,invertebrate
DROAN,fly,HumanIso.smat,drosophila.U12.070102.param,Celegans,D.melanogaster.hmm,invertebrate
DROGR,fly,HumanIso.smat,drosophila.U12.070102.param,Celegans,D.melanogaster.hmm,invertebrate
DROME,fly,HumanIso.smat,drosophila.U12.070102.param,Celegans,D.melanogaster.hmm,invertebrate
DROMO,fly,HumanIso.smat,drosophila.U12.070102.param,Celegans,D.melanogaster.hmm,invertebrate
DROPE,fly,HumanIso.smat,drosophila.U12.070102.param,Celegans,D.melanogaster.hmm,invertebrate
DROPS,fly,HumanIso.smat,drosophila.U12.070102.param,Celegans,D.melanogaster.hmm,invertebrate
DROSE,fly,HumanIso.smat,drosophila.U12.070102.param,Celegans,D.melanogaster.hmm,invertebrate
DROSI,fly,HumanIso.smat,drosophila.U12.070102.param,Celegans,D.melanogaster.hmm,invertebrate
DROVI,fly,HumanIso.smat,drosophila.U12.070102.param,Celegans,D.melanogaster.hmm,invertebrate
DROWI,fly,HumanIso.smat,drosophila.U12.070102.param,Celegans,D.melanogaster.hmm,invertebrate
EMIHU,pea_aphid,HumanIso.smat,drosophila.U12.070102.param,rice,O.sativa.hmm,land_plant
ENTBH,encephalitozoon_cuniculi_GB,HumanIso.smat,roryzae.param,Celegans,A.mellifera.hmm,invertebrate
FELCA,chicken,HumanIso.smat,tetraodon.param,zebrafish,mam54.hmm,vertebrate
FICAL,chicken,HumanIso.smat,tetraodon.param,zebrafish,mam54.hmm,vertebrate
GASAC,zebrafish,HumanIso.smat,tetraodon.param,zebrafish,mam54.hmm,vertebrate
GIAIN,pea_aphid,HumanIso.smat,drosophila.U12.070102.param,rice,O.sativa.hmm,land_plant
GONPR,rhizopus_oryzae,HumanIso.smat,bdendrobatidis.param,Celegans,A.mellifera.hmm,invertebrate
GORGO,human,HumanIso.smat,human.070123.param,human,mam54.hmm,vertebrate
GUITH,pea_aphid,HumanIso.smat,drosophila.U12.070102.param,rice,O.sativa.hmm,land_plant
HAMHA,toxoplasma,HumanIso.smat,cubiquitum.param,rice,O.sativa.hmm,land_plant
HELRO,pea_aphid,HumanIso.smat,drosophila.U12.070102.param,Celegans,A.mellifera.hmm,invertebrate
HETGA,chicken,HumanIso.smat,tetraodon.param,zebrafish,mam54.hmm,vertebrate
HORSE,chicken,HumanIso.smat,tetraodon.param,zebrafish,mam54.hmm,vertebrate
HUMAN,human,HumanIso.smat,human.070123.param,human,mam54.hmm,vertebrate
ICHMG,tetrahymena,HumanIso.smat,tthermophila.Feb_2_2012,rice,O.sativa.hmm,land_plant
ICTTR,chicken,HumanIso.smat,tetraodon.param,zebrafish,mam54.hmm,vertebrate
IXOSC,pea_aphid,HumanIso.smat,rechinopus.param,Celegans,A.mellifera.hmm,invertebrate
LATCH,chicken,HumanIso.smat,tetraodon.param,zebrafish,mam54.hmm,vertebrate
LEIBR,leishmania_tarentolae,HumanIso.smat,drosophila.U12.070102.param,rice,O.sativa.hmm,land_plant
LEIIN,leishmania_tarentolae,HumanIso.smat,drosophila.U12.070102.param,rice,O.sativa.hmm,land_plant
LEIMA,leishmania_tarentolae,HumanIso.smat,drosophila.U12.070102.param,rice,O.sativa.hmm,land_plant
LEPOC,zebrafish,HumanIso.smat,tetraodon.param,zebrafish,mam54.hmm,vertebrate
LEPSE,leishmania_tarentolae,HumanIso.smat,drosophila.U12.070102.param,rice,O.sativa.hmm,land_plant
LOTGI,pea_aphid,HumanIso.smat,drosophila.U12.070102.param,Celegans,A.mellifera.hmm,invertebrate
LOXAF,chicken,HumanIso.smat,tetraodon.param,zebrafish,mam54.hmm,vertebrate
LUCCU,fly,HumanIso.smat,drosophila.U12.070102.param,Celegans,D.melanogaster.hmm,invertebrate
MACFA,human,HumanIso.smat,human.070123.param,human,mam54.hmm,vertebrate
MACMU,human,HumanIso.smat,human.070123.param,human,mam54.hmm,vertebrate
MONBE,pea_aphid,HumanIso.smat,drosophila.U12.070102.param,Celegans,A.mellifera.hmm,invertebrate
MONDO,chicken,HumanIso.smat,tetraodon.param,zebrafish,mam54.hmm,vertebrate
MOUSE,chicken,HumanIso.smat,tetraodon.param,zebrafish,mam54.hmm,vertebrate
MUSPF,chicken,HumanIso.smat,tetraodon.param,zebrafish,mam54.hmm,vertebrate
MYOLU,chicken,HumanIso.smat,tetraodon.param,zebrafish,mam54.hmm,vertebrate
NAEGR,pea_aphid,HumanIso.smat,drosophila.U12.070102.param,rice,O.sativa.hmm,land_plant
NASVI,nasonia,HumanIso.smat,nvitripennis.param,Celegans,Nasonia.hmm,invertebrate
NEMVE,nematostella_vectensis,HumanIso.smat,drosophila.U12.070102.param,Celegans,A.mellifera.hmm,invertebrate
NOMLE,human,HumanIso.smat,human.070123.param,human,mam54.hmm,vertebrate
NOSCE,encephalitozoon_cuniculi_GB,HumanIso.smat,roryzae.param,Celegans,A.mellifera.hmm,invertebrate
ONCVO,brugia,HumanIso.smat,lloa.param,Celegans,B.malayi.hmm,invertebrate
ORENI,zebrafish,HumanIso.smat,tetraodon.param,zebrafish,mam54.hmm,vertebrate
ORNAN,chicken,HumanIso.smat,tetraodon.param,zebrafish,mam54.hmm,vertebrate
ORYLA,zebrafish,HumanIso.smat,tetraodon.param,zebrafish,mam54.hmm,vertebrate
OTOGA,human,HumanIso.smat,human.070123.param,human,mam54.hmm,vertebrate
PANTR,human,HumanIso.smat,human.070123.param,human,mam54.hmm,vertebrate
PAPAN,human,HumanIso.smat,human.070123.param,human,mam54.hmm,vertebrate
PARTE,tetrahymena,HumanIso.smat,ptetraurelia.param,rice,O.sativa.hmm,land_plant
PEDHC,pea_aphid,HumanIso.smat,apisum.param,Celegans,A.mellifera.hmm,invertebrate
PELSI,chicken,HumanIso.smat,tetraodon.param,zebrafish,mam54.hmm,vertebrate
PERM5,pfalciparum,HumanIso.smat,pmarinus.param,rice,O.sativa.hmm,land_plant
PHAAN,arabidopsis,Arabidopsis.smat,pvulgaris.param,arabidopsis,A.thaliana.hmm,land_plant
PHYIT,pea_aphid,HumanIso.smat,pinfestans.param,rice,O.sativa.hmm,land_plant
PHYNI,pea_aphid,HumanIso.smat,pinfestans.param,rice,O.sativa.hmm,land_plant
PHYPN,pea_aphid,HumanIso.smat,pinfestans.param,rice,O.sativa.hmm,land_plant
PHYPR,pea_aphid,HumanIso.smat,pinfestans.param,rice,O.sativa.hmm,land_plant
PHYRM,pea_aphid,HumanIso.smat,pinfestans.param,rice,O.sativa.hmm,land_plant
PHYSP,pea_aphid,HumanIso.smat,pinfestans.param,rice,O.sativa.hmm,land_plant
PIG,chicken,HumanIso.smat,tetraodon.param,zebrafish,mam54.hmm,vertebrate
PLABS,pea_aphid,HumanIso.smat,drosophila.U12.070102.param,rice,O.sativa.hmm,land_plant
POEFO,Xipophorus_maculatus,HumanIso.smat,tetraodon.param,zebrafish,mam54.hmm,vertebrate
PONAB,human,HumanIso.smat,human.070123.param,human,mam54.hmm,vertebrate
PRIPA,ancylostoma_ceylanicum,HumanIso.smat,lloa.param,Celegans,C.elegans.hmm,invertebrate
PSEPJ,tetrahymena,HumanIso.smat,ptetraurelia.param,rice,O.sativa.hmm,land_plant
PYTUL,pea_aphid,HumanIso.smat,pinfestans.param,rice,O.sativa.hmm,land_plant
RABIT,chicken,HumanIso.smat,tetraodon.param,zebrafish,mam54.hmm,vertebrate
RAT,chicken,HumanIso.smat,tetraodon.param,zebrafish,mam54.hmm,vertebrate
RETFI,pea_aphid,HumanIso.smat,drosophila.U12.070102.param,rice,O.sativa.hmm,land_plant
RHOPR,rhodnius,HumanIso.smat,apisum.param,Celegans,A.mellifera.hmm,invertebrate
SALR5,pea_aphid,HumanIso.smat,drosophila.U12.070102.param,Celegans,A.mellifera.hmm,invertebrate
SAPPC,pea_aphid,HumanIso.smat,pinfestans.param,rice,O.sativa.hmm,land_plant
SARHA,chicken,HumanIso.smat,tetraodon.param,zebrafish,mam54.hmm,vertebrate
SARSC,pea_aphid,HumanIso.smat,rechinopus.param,Celegans,A.mellifera.hmm,invertebrate
SCHMA,schistosoma,HumanIso.smat,sjaponica.param,Celegans,A.mellifera.hmm,invertebrate
SELML,arabidopsis,Arabidopsis.smat,rice.param,rice,O.sativa.hmm,land_plant
SHEEP,chicken,HumanIso.smat,tetraodon.param,zebrafish,mam54.hmm,vertebrate
SPIPN,rhizopus_oryzae,HumanIso.smat,bdendrobatidis.param,Celegans,A.mellifera.hmm,invertebrate
STRMM,pea_aphid,HumanIso.smat,drosophila.U12.070102.param,Celegans,A.mellifera.hmm,invertebrate
STRPU,strongylocentrotus_purpuratus,HumanIso.smat,tetraodon.param,zebrafish,C.intestinalis.hmm,vertebrate
STRRB,ancylostoma_ceylanicum,HumanIso.smat,lloa.param,Celegans,C.elegans.hmm,invertebrate
STYLE,tetrahymena,HumanIso.smat,ptetraurelia.param,rice,O.sativa.hmm,land_plant
TAKRU,zebrafish,HumanIso.smat,tetraodon.param,zebrafish,mam54.hmm,vertebrate
TETNG,zebrafish,HumanIso.smat,tetraodon.param,zebrafish,mam54.hmm,vertebrate
TETTS,tetrahymena,HumanIso.smat,tthermophila.Feb_2_2012,rice,O.sativa.hmm,land_plant
TETUR,pea_aphid,HumanIso.smat,atosichella.param,Celegans,A.mellifera.hmm,invertebrate
THAOC,pea_aphid,HumanIso.smat,bhominis.param,rice,O.sativa.hmm,land_plant
THAPS,pea_aphid,HumanIso.smat,bhominis.param,rice,O.sativa.hmm,land_plant
THETB,pea_aphid,HumanIso.smat,drosophila.U12.070102.param,rice,O.sativa.hmm,land_plant
TOXGV,toxoplasma,HumanIso.smat,cubiquitum.param,rice,O.sativa.hmm,land_plant
TRIAD,pea_aphid,HumanIso.smat,drosophila.U12.070102.param,Celegans,A.mellifera.hmm,invertebrate
TRICA,tribolium2012,HumanIso.smat,dlongipes.param,Celegans,A.mellifera.hmm,invertebrate
TRIVA,pea_aphid,HumanIso.smat,drosophila.U12.070102.param,rice,O.sativa.hmm,land_plant
TRYCC,leishmania_tarentolae,HumanIso.smat,drosophila.U12.070102.param,rice,O.sativa.hmm,land_plant
TRYCR,leishmania_tarentolae,HumanIso.smat,drosophila.U12.070102.param,rice,O.sativa.hmm,land_plant
TRYRA,leishmania_tarentolae,HumanIso.smat,drosophila.U12.070102.param,rice,O.sativa.hmm,land_plant
VITBC,pfalciparum,HumanIso.smat,pmarinus.param,rice,O.sativa.hmm,land_plant
XENTR,chicken,HumanIso.smat,tetraodon.param,zebrafish,mam54.hmm,vertebrate
XIPMA,Xipophorus_maculatus,HumanIso.smat,tetraodon.param,zebrafish,mam54.hmm,vertebrate
ZOONE,pea_aphid,HumanIso.smat,drosophila.U12.070102.param,Celegans,A.mellifera.hmm,invertebrate
